Github slug,Module Name,T-value,Generated orders path,"Polluter,cleaner,victim,brittle info path",Original order path,Static pair path,Runtime,Random Order count,inter-class orders,
https://github.com/apache/dubbo,dubbo-common,2,/home/mpious/Documents/orderlist/orders/inter-orders/apache_dubbo-dubbo-common-737f7a7-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/apache_dubbo-dubbo-common-737f7a7-original_order,/home/mpious/Documents/orderlist/data/pairs/apache/dubb/dubbo-common/pairs-737f7a7,31.76180373,1361,261418,TRUE
https://github.com/spring-projects/spring-boot,spring-boot,2,/home/mpious/Documents/orderlist/orders/inter-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-daa3d45-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-daa3d45-original_order,/home/mpious/Documents/orderlist/data/pairs/spring-projects/spring-boot/spring-boot-project/spring-boot/pairs-daa3d45,27.84926721,1552,5015642,TRUE
https://github.com/spring-projects/spring-boot,spring-boot-actuator-autoconfigure,2,/home/mpious/Documents/orderlist/orders/inter-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-actuator-autoconfigure-daa3d45-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-actuator-autoconfigure-daa3d45-original_order,/home/mpious/Documents/orderlist/data/pairs/spring-projects/spring-boot/spring-boot-project/spring-boot-actuator-autoconfigure/pairs-daa3d45,24.13416942,1790,531042,TRUE
https://github.com/doanduyhai/Achilles,integration-test-2_1,2,/home/mpious/Documents/orderlist/orders/inter-orders/doanduyhai_Achilles-integration-test-2_1-e3099bd-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/doanduyhai_Achilles-integration-test-2_1-e3099bd-original_order,/home/mpious/Documents/orderlist/data/pairs/doanduyhai/Achilles/integration-test-2_1/pairs-e3099bd,18.94977003,2280,50658,TRUE
https://github.com/openpojo/openpojo,,2,/home/mpious/Documents/orderlist/orders/inter-orders/openpojo_openpojo-.-9badbcc-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/openpojo_openpojo-.-9badbcc-original_order,/home/mpious/Documents/orderlist/data/pairs/openpojo/openpojo/pairs-9badbcc,11.69306687,3695,1392896,TRUE
https://github.com/fhoeben/hsac-fitnesse-fixtures,,2,/home/mpious/Documents/orderlist/orders/inter-orders/fhoeben_hsac-fitnesse-fixtures-.-a64c18d-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/fhoeben_hsac-fitnesse-fixtures-.-a64c18d-original_order,/home/mpious/Documents/orderlist/data/pairs/fhoeben/hsac-fitnesse-fixtures/pairs-a64c18d,7.303204089,5916,60816,TRUE
https://github.com/apache/dubbo,dubbo-config-api,2,/home/mpious/Documents/orderlist/orders/inter-orders/apache_dubbo-dubbo-config_dubbo-config-api-737f7a7-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/apache_dubbo-dubbo-config_dubbo-config-api-737f7a7-original_order,/home/mpious/Documents/orderlist/data/pairs/apache/dubbo/dubbo-config/dubbo-config-api/pairs-737f7a7,4.919366963,8782,64268,TRUE
https://github.com/tools4j/unix4j,unix4j-command,2,/home/mpious/Documents/orderlist/orders/inter-orders/tools4j_unix4j-unix4j-core_unix4j-command-367da7d-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/tools4j_unix4j-unix4j-core_unix4j-command-367da7d-original_order,/home/mpious/Documents/orderlist/data/pairs/tools4j/unix4j/unix4j-core/unix4j-command/pairs-367da7d,4.384263256,9854,79464,TRUE
https://github.com/apache/dubbo,dubbo-cluster,2,/home/mpious/Documents/orderlist/orders/inter-orders/apache_dubbo-dubbo-cluster-737f7a7-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/apache_dubbo-dubbo-cluster-737f7a7-original_order,/home/mpious/Documents/orderlist/data/pairs/apache/dubbo/dubbo-cluster/pairs-737f7a7,3.991703469,10823,11244,TRUE
https://github.com/spring-projects/spring-boot,spring-boot-test-autoconfigure,2,/home/mpious/Documents/orderlist/orders/inter-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-test-autoconfigure-daa3d45-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-test-autoconfigure-daa3d45-original_order,/home/mpious/Documents/orderlist/data/pairs/spring-projects/spring-boot/spring-boot-project/spring-boot-test-autoconfigure/pairs-daa3d45,3.028333284,14266,60100,TRUE
https://github.com/spring-projects/spring-boot,spring-boot-test,2,/home/mpious/Documents/orderlist/orders/inter-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-test-autoconfigure-daa3d45-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/spring-projects_spring-boot-spring-boot-project_spring-boot-test-daa3d45-original_order,/home/mpious/Documents/orderlist/data/pairs/spring-projects/spring-boot/spring-boot-project/spring-boot-test/pairs-daa3d45,2.324266913,18587,472332,TRUE
https://github.com/ktuukkan/marine-api,,2,/home/mpious/Documents/orderlist/orders/inter-orders/ktuukkan_marine-api-.-af00038-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/ktuukkan_marine-api-.-af00038-original_order,/home/mpious/Documents/orderlist/data/pairs/ktuukkan/marine-api/pairs-af00038,0.634532997,68082,841810,TRUE
https://github.com/wro4j/wro4j,wro4j-core,2,/home/mpious/Documents/orderlist/orders/inter-orders/wro4j_wro4j-wro4j-core-185ab60-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/wro4j_wro4j-wro4j-core-185ab60-original_order,/home/mpious/Documents/orderlist/data/pairs/wro4j/wro4j/wro4j-core/pairs-185ab60,,,713822,TRUE
https://github.com/spring-projects/spring-ws,spring-ws-core,2,/home/mpious/Documents/orderlist/orders/inter-orders/spring-projects_spring-ws-spring-ws-core-e8d89c9-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/spring-projects_spring-ws-spring-ws-core-e8d89c9-original_order,/home/mpious/Documents/orderlist/data/pairs/spring-projects/spring-ws/spring-ws-core/pairs-e8d89c9,,,932108,TRUE
